Rank|Song|Total Points|Number Ones|Total Listeners
4514|Naran Ratan - east Of somewhere else|1.0|0|1
4514|Nas - Life's a Bitch|1.0|0|1
4514|Nas - Street Dreams|1.0|0|1
4514|Nas - The Message|1.0|0|1
4514|Nas - The World Is Yours|1.0|0|1
4514|Nat King Cole - To The Ends Of The Earth - 1992 Digital Remaster|1.0|0|1
4514|Nat King Cole - Unforgettable|1.0|0|1
4514|Natalia Kills - Daddy's Girl|1.0|0|1
4514|Natalia Kills - Stop Me|1.0|0|1
4514|Natalia Kills - Wonderland|1.0|0|1
4514|Natalia Lafourcade - Derecho de Nacimiento (feat. Los Macorinos)|1.0|0|1
4514|Natalia Lafourcade - Eclipse (feat. Los Macorinos)|1.0|0|1
4514|Natalie Cole - This Will Be (An Everlasting Love)|1.0|0|1
4514|Natalie Perez - Algo Tiene|1.0|0|1
4514|Natasha Bedingfield - I Bruise Easily|1.0|0|1
4514|Natural Afrodisiac - Tired Eyes|1.0|0|1
4514|Nature Sounds - Calm Rolling Thunder and Soothing Rain|1.0|0|1
4514|Nature Sounds - Relaxed Circling Thunderstorm|1.0|0|1
4514|Naughty Boy - La La La|1.0|0|1
4514|Ne-Yo & Bebe Rexha & Stefflon Don - Push Back|1.0|0|1
4514|Ne-Yo, Bebe Rexha & Stefflon Don - Push Back|1.0|0|1
4514|Neil Diamond - Sweet Caroline (Single Version)|1.0|0|1
4514|Neil Young - Heart Of Gold|1.0|0|1
4514|Neko Case - Honey and Smoke|1.0|0|1
4514|Nelly - Over And Over - Album Version / Explicit|1.0|0|1
4514|Nelly Furtado - All Good Things (Come To an End)|1.0|0|1
4514|Nelly Furtado - I'm Like a Bird|1.0|0|1
4514|Nelly Furtado - Maneater|1.0|0|1
4514|Neon Indian - Ephemeral Artery|1.0|0|1
4514|Neon Indian - Polish Girl|1.0|0|1
4514|Neon Indian - The Glitzy Hive|1.0|0|1
4514|Neon Trees - Close To You|1.0|0|1
4514|Neon Trees - Hooray for Hollywood|1.0|0|1
4514|Neon Trees - Lessons In Love (All Day, All Night)|1.0|0|1
4514|Neon Trees - Mad Love|1.0|0|1
4514|Neon Trees - Moving in The Dark|1.0|0|1
4514|Neon Trees - Our War|1.0|0|1
4514|Neon Trees - Teenage Sounds|1.0|0|1
4514|Neon Trees - Trust|1.0|0|1
4514|Neon Trees - Weekend|1.0|0|1
4514|Netsky - TNT (feat. Dave 1)|1.0|0|1
4514|New Order - Age Of Consent - 2015 Remastered Version|1.0|0|1
4514|New Order - Ecstasy - 2015 Remastered Version|1.0|0|1
4514|New Order - Face Up - 2015 Remastered Version|1.0|0|1
4514|New Order - Perfect Kiss|1.0|0|1
4514|New Order - Regret|1.0|0|1
4514|New Order - True Faith - (7'' Edit) (2015 Remastered Version)|1.0|0|1
4514|New Order - True Faith - 2011 Total Version|1.0|0|1
4514|New Radicals - You Get What You Give|1.0|0|1
4514|NF - 10 Feet Down|1.0|0|1
4514|NF - My Life|1.0|0|1
4514|NF - Outro|1.0|0|1
4514|Niall Horan - Fire Away|1.0|0|1
4514|Niall Horan - On My Own|1.0|0|1
4514|Niall Horan - On The Loose (Alternate Version)|1.0|0|1
4514|Niall Horan - Seeing Blind|1.0|0|1
4514|Niall Horan - Since We're Alone|1.0|0|1
4514|Niall Horan - You And Me|1.0|0|1
4514|Nick Jonas - Jealous|1.0|0|1
4514|Nick Jonas - Levels|1.0|0|1
4514|Nick Jonas Answers The Web's Most Searched Questions - WIRED|1.0|0|1
4514|Nick Jonas On The Most Endowed Jonas Brother - PT5 #FBF | WWHL|1.0|0|1
4514|Nickel Creek - Robin And Marian|1.0|0|1
4514|Nicki Minaj - Black Barbies|1.0|0|1
4514|Nicki Minaj - Blazin|1.0|0|1
4514|Nicki Minaj - Roman Holiday|1.0|0|1
4514|Nicki Minaj - Shanghai|1.0|0|1
4514|Nicki Minaj - Trini Dem Girls|1.0|0|1
4514|Nico & Vinz - Am I Wrong|1.0|0|1
4514|Nicole Kidman - Elephant Love Medley - From "Moulin Rouge" Soundtrack|1.0|0|1
4514|Nicole Kidman - One Day I'll Fly Away - From "Moulin Rouge" Soundtrack|1.0|0|1
4514|Nicole Millar - Signals|1.0|0|1
4514|Night Riots - Follow You|1.0|0|1
4514|Nils Frahm - Fundamental Values|1.0|0|1
4514|Nina June - Daffodils|1.0|0|1
4514|Nina June - For Love|1.0|0|1
4514|Nina June - If We Never Go|1.0|0|1
4514|Nina June - Mirror Walls|1.0|0|1
4514|Nina June - Out To Sea|1.0|0|1
4514|Nina June - Sleeping Soldiers|1.0|0|1
4514|Nina June - Till Dawn|1.0|0|1
4514|Nina June - Wanderers|1.0|0|1
4514|Nina June - We Watched It All Come Down|1.0|0|1
4514|Nina June - When We Fall|1.0|0|1
4514|Nina June - Where The Angels|1.0|0|1
4514|Nina Nesbitt - Chewing Gum|1.0|0|1
4514|Nine Days - Absolutely (Story Of A Girl) - Radio Mix|1.0|0|1
4514|Nine Inch Nails - Closer|1.0|0|1
4514|Nipsey Hussle - Dedication (feat. Kendrick Lamar)|1.0|0|1
4514|Nitty Scott, MC - Pxssy Powah!|1.0|0|1
4514|NMB48 - ジッパー|1.0|0|1
4514|No Doubt - Don't Speak|1.0|0|1
4514|No Doubt - It's My Life|1.0|0|1
4514|Noah Hinsdale - Come To The Fun Home|1.0|0|1
4514|Noah Kahan - Hallelujah|1.0|0|1
4514|Noah Kahan - Hurt Somebody|1.0|0|1
4514|Noah Kahan - Passenger|1.0|0|1
4514|NOFX - Bob|1.0|0|1
4514|NOFX - Day To Daze|1.0|0|1
4514|NOFX - Drug Free America|1.0|0|1
4514|NOFX - Five Feet Under|1.0|0|1
4514|NOFX - I Wanna Be Your Baby|1.0|0|1
4514|NOFX - Johnny Appleseed|1.0|0|1
4514|NOFX - Life O'Riley|1.0|0|1
4514|NOFX - Liza and Louise|1.0|0|1
4514|NOFX - Mean People Suck|1.0|0|1
4514|NOFX - Please Play This Song on The Radio|1.0|0|1
4514|NOFX - Professional Crastination|1.0|0|1
4514|NOFX - S&M Airlines|1.0|0|1
4514|NOFX - Scream for Change|1.0|0|1
4514|NOFX - Soul Doubt|1.0|0|1
4514|NOFX - Stickin in My Eye|1.0|0|1
4514|NOFX - Straight Edge|1.0|0|1
4514|NOFX - The Bag|1.0|0|1
4514|NOFX - Vanilla Sex|1.0|0|1
4514|NOFX - Warm|1.0|0|1
4514|NOFX - You Drink, You Drive, You Spill|1.0|0|1
4514|NOFX - You're Bleeding|1.0|0|1
4514|Nom De Strip - The Night - Ak9 Remix|1.0|0|1
4514|NoMBe - Milk & Coffee|1.0|0|1
4514|NoName - Freedom (Interlude)|1.0|0|1
4514|NoName - Reality Check (feat. Eryn Allen Kane & Akenya)|1.0|0|1
4514|NoName - Shadow Man (feat. Phoelix, Smino & Saba)|1.0|0|1
4514|NONONO - Masterpiece|1.0|0|1
4514|Nothing But Thieves - Ban All The Music|1.0|0|1
4514|Nothing But Thieves - Hanging|1.0|0|1
4514|Nothing But Thieves - Wake Up Call|1.0|0|1
4514|Nu:Logic - Wings (Nu:Logic Remix)|1.0|0|1
4514|Nxworries - Scared Money|1.0|0|1
4514|O R I O N - Like U|1.0|0|1
4514|Oasis - Cast No Shadow (Remastered)|1.0|0|1
4514|Oasis - Champagne Supernova|1.0|0|1
4514|Oasis - Champagne Supernova (Remastered)|1.0|0|1
4514|Oasis - Don't Look Back In Anger (Remastered)|1.0|0|1
4514|Oasis - Hello (Remastered)|1.0|0|1
4514|Oasis - Hey Now! (Remastered)|1.0|0|1
4514|Oasis - Morning Glory (Remastered)|1.0|0|1
4514|Oasis - Roll With It (Remastered)|1.0|0|1
4514|Oasis - She's Electric (Remastered)|1.0|0|1
4514|Oasis - Some Might Say (Remastered)|1.0|0|1
4514|Oasis - Wonderwall|1.0|0|1
4514|Oasis - Wonderwall (Remastered)|1.0|0|1
4514|Occer - The Tank|1.0|0|1
4514|Odesza - All We Need (feat. Shy Girls)|1.0|0|1
4514|Odesza - Higher Ground - Flight Facilities Remix|1.0|0|1
4514|Odesza - La Ciudad|1.0|0|1
4514|of Montreal - When You're Loved Like You Are|1.0|0|1
4514|Off Bloom - Hey Bae|1.0|0|1
4514|OH MY GIRL - Coloring Book|1.0|0|1
4514|OK Go - Shortly Before The End|1.0|0|1
4514|OK Go - Skyscrapers|1.0|0|1
4514|Ol' Dirty Bastard - Got Your Money (feat. Kelis)|1.0|0|1
4514|Old Dominion - No Such Thing As A Broken Heart|1.0|0|1
4514|Old Sea Brigade - Love Brought Weight|1.0|0|1
4514|Oliver Heldens - Gecko (feat. Becky Hill)|1.0|0|1
4514|Oliver Heldens - You Know (feat. Zeds Dead)|1.0|0|1
4514|Oliver Riot - Ivory Black|1.0|0|1
4514|Oliver Smith - Your Love|1.0|0|1
4514|Olivia Holt - Generous|1.0|0|1
4514|Olly Murs - Heart Skips a Beat|1.0|0|1
4514|Olly Murs - Troublemaker|1.0|0|1
4514|Omarion - Post To Be (feat. Chris Brown & Jhene Aiko)|1.0|0|1
4514|Omni - Choke|1.0|0|1
4514|One Direction - Best Song Ever|1.0|0|1
4514|One Direction - Better Than Words|1.0|0|1
4514|One Direction - C'mon C'mon (Lyrics and Pictures)|1.0|0|1
4514|One Direction - Change My Mind|1.0|0|1
4514|One Direction - Happily|1.0|0|1
4514|One Direction - Heart Attack|1.0|0|1
4514|One Direction - I Would|1.0|0|1
4514|One Direction - Kiss You|1.0|0|1
4514|One Direction - Live While We're Young|1.0|0|1
4514|One Direction - Over Again|1.0|0|1
4514|One Direction - Rock Me|1.0|0|1
4514|One Direction - She's Not Afraid|1.0|0|1
4514|One Direction - Strong|1.0|0|1
4514|Oneohtrix Point Never - Along|1.0|0|1
4514|Oneohtrix Point Never - Americans|1.0|0|1
4514|Oneohtrix Point Never - Andro|1.0|0|1
4514|Oneohtrix Point Never - Boring Angel|1.0|0|1
4514|Oneohtrix Point Never - Child Soldier|1.0|0|1
4514|Oneohtrix Point Never - Chrome Country|1.0|0|1
4514|Oneohtrix Point Never - Cryo|1.0|0|1
4514|Oneohtrix Point Never - Explain|1.0|0|1
4514|Oneohtrix Point Never - He She|1.0|0|1
4514|Oneohtrix Point Never - Inside World|1.0|0|1
4514|Oneohtrix Point Never - Nassau|1.0|0|1
4514|Oneohtrix Point Never - Power Of Persuasion|1.0|0|1
4514|Oneohtrix Point Never - Problem Areas|1.0|0|1
4514|Oneohtrix Point Never - Remember|1.0|0|1
4514|Oneohtrix Point Never - Sleep Dealer|1.0|0|1
4514|Oneohtrix Point Never - Still Life|1.0|0|1
4514|Oneohtrix Point Never - Submersible|1.0|0|1
4514|Oneohtrix Point Never - Up|1.0|0|1
4514|Oneohtrix Point Never - Zebra|1.0|0|1
4514|OneRepublic - Counting Stars|1.0|0|1
4514|OneRepublic - Feel Again - With Heartbeats|1.0|0|1
4514|OneRepublic - Good Life|1.0|0|1
4514|OneRepublic - I Lived|1.0|0|1
4514|OneRepublic - If I Lose Myself|1.0|0|1
4514|OneRepublic - Light It Up|1.0|0|1
4514|OneRepublic - Love Runs Out|1.0|0|1
4514|OneRepublic - Rich Love|1.0|0|1
4514|OneRepublic - What You Wanted|1.0|0|1
4514|Open Mike Eagle - Big Pretty Bridges (3 Days off in Albuquerque)|1.0|0|1
4514|Open Mike Eagle - Legendary Iron Hood|1.0|0|1
4514|Orange Caramel - 까탈레나 (Catallena)|1.0|0|1
4514|Orbiter - Discovery|1.0|0|1
4514|Orbiter - We Do|1.0|0|1
4514|Orkin - Orkin|1.0|0|1
4514|Orleans - Dance with Me|1.0|0|1
4514|Orleans - Still The One|1.0|0|1
4514|OutKast - Aquemini|1.0|0|1
4514|OutKast - Hey Ya!|1.0|0|1
4514|OutKast - Jazzy Belle|1.0|0|1
4514|OutKast - Ms. Jackson|1.0|0|1
4514|OutKast - Roses|1.0|0|1
4514|OutKast - The Way You Move - Club Mix|1.0|0|1
4514|OutKast - Wheelz Of Steel|1.0|0|1
4514|OVERWERK - Canon Pt. II|1.0|0|1
4514|OVERWERK - Funeral|1.0|0|1
4514|OVERWERK - Know (feat. Mars)|1.0|0|1
4514|OVERWERK - Revival|1.0|0|1
4514|Owl City - Good Time|1.0|0|1
4514|Owl City - Shy Violet|1.0|0|1
4514|Owl City - When Can I See You Again?|1.0|0|1
4514|P!nk - For Now|1.0|0|1
4514|P!nk - Just Give Me a Reason (feat. Nate Ruess)|1.0|0|1
4514|Paloma Faith - Ready for The Good Life|1.0|0|1
4514|Panama - I Watched You Slip|1.0|0|1
4514|Panda Bear - Ponytail|1.0|0|1
4514|Panic! at The Disco - Always|1.0|0|1
4514|Panic! at The Disco - Death Of a Bachelor|1.0|0|1
4514|Panic! at The Disco - Don't Threaten Me with a Good Time|1.0|0|1
4514|Panic! at The Disco - Emperor's New Clothes|1.0|0|1
4514|Panic! at The Disco - I Write Sins Not Tragedies|1.0|0|1
4514|Panic! at The Disco - LA Devotee|1.0|0|1
4514|Panic! at The Disco - Nine in The Afternoon|1.0|0|1
4514|Panic! at The Disco - Nine In The Afternoon - Radio Mix|1.0|0|1
4514|Panic! at The Disco - The Calendar|1.0|0|1
4514|Panic! at The Disco - The Good, The Bad and The Dirty|1.0|0|1
4514|Panic! at The Disco - The Only Difference Between Martyrdom and Suicide Is Press Coverage|1.0|0|1
4514|Panic! at The Disco - The Piano Knows Something I Don't Know|1.0|0|1
4514|Panic! at The Disco - Victorious|1.0|0|1
4514|Panta Ray - Supreme|1.0|0|1
4514|Paperwhite - Only Us|1.0|0|1
4514|Paramore - Born for This|1.0|0|1
4514|Paramore - crushcrushcrush|1.0|0|1
4514|Paramore - Fences|1.0|0|1
4514|Paramore - Hate To See Your Heart Break|1.0|0|1
4514|Paramore - Ignorance|1.0|0|1
4514|Paramore - Misguided Ghosts|1.0|0|1
4514|Paramore - Never Let This Go|1.0|0|1
4514|Paramore - That's What You Get|1.0|0|1
4514|Paramore - The Only Exception|1.0|0|1
4514|Parker - Shade|1.0|0|1
4514|Party Favor - MDR|1.0|0|1
4514|PARTYNEXTDOOR - Damage|1.0|0|1
4514|Passion Pit - All I Want|1.0|0|1
4514|Passion Pit - Little Secrets|1.0|0|1
4514|Passion Pit - On My Way|1.0|0|1
4514|Passion Pit - Swimming In The Flood|1.0|0|1
4514|Passion Pit - Take a Walk|1.0|0|1
4514|Passion Pit - Two Veils To Hide My Face|1.0|0|1
4514|Pat Benatar - Hell Is for Children|1.0|0|1
4514|Patricia - Liminal States|1.0|0|1
4514|Patrick Cassidy - The Ballad Of Booth|1.0|0|1
4514|Patrick Doyle - Can You See Jane?|1.0|0|1
4514|Patrick Doyle - Earth To Asgard|1.0|0|1
4514|Patrick Doyle - Sons Of Odin|1.0|0|1
4514|Patrick Stump - Run Dry (X Heart X Fingers)|1.0|0|1
4514|Patrick Stump - Spotlight (New Regrets)|1.0|0|1
4514|Patsy Cline - Crazy Version|1.0|0|1
4514|Patsy Cline - Have You Ever Been Lonely (Have You Ever Been Blue)|1.0|0|1
4514|Patsy Cline - San Antonio Rose|1.0|0|1
4514|Patsy Cline - South Of The Border (Down Mexico Way)|1.0|0|1
4514|Patsy Cline - True Love|1.0|0|1
4514|Patti LaBelle - Lady Marmalade|1.0|0|1
4514|Paul McCartney - Another Day|1.0|0|1
4514|Paul McCartney - Ebony and Ivory|1.0|0|1
4514|Paul McCartney - My Love|1.0|0|1
4514|Paul McCartney - No More Lonely Nights|1.0|0|1
4514|Paul McCartney - Pipes Of Peace|1.0|0|1
4514|Paul Simon - Mother and Child Reunion|1.0|0|1
4514|pauloj86 - Smells Like Bootylicious|1.0|0|1
4514|Pearson Sound - Heal Me|1.0|0|1
4514|Penguin Prison - Keep Coming Alive|1.0|0|1
4514|Perfume - Chocolate Disco|1.0|0|1
4514|Perfume - plastic smile|1.0|0|1
4514|Perfume - Secret Secret|1.0|0|1
4514|Perfume Genius - Fool|1.0|0|1
4514|Perfume Genius - Sides|1.0|0|1
4514|Peter Bradley Adams - My Arms Were Always Around You|1.0|0|1
4514|Peter Collins - Love Like|1.0|0|1
4514|Peter Karp - You Know|1.0|0|1
4514|Petit biscuit - Problems - Shallou Remix|1.0|0|1
4514|Phantogram - Cruel World|1.0|0|1
4514|Phantogram - K.Y.S.A.|1.0|0|1
4514|Phantogram - When I'm Small|1.0|0|1
4514|Pharrell Williams - Brand New (duet with Justin Timberlake)|1.0|0|1
4514|Pharrell Williams - Come Get It Bae|1.0|0|1
4514|Pharrell Williams - Gush|1.0|0|1
4514|Pharrell Williams - Gust Of Wind|1.0|0|1
4514|Pharrell Williams - Hunter|1.0|0|1
4514|Pharrell Williams - Marilyn Monroe|1.0|0|1
4514|Pheeno - Rest|1.0|0|1
4514|Phillip and Holly Struggle To Recover From Their NTA Win! - This Morning|1.0|0|1
4514|Phillip Phillips - Gone, Gone, Gone|1.0|0|1
4514|Phoenix - 1901|1.0|0|1
4514|Phoenix - If I Ever Feel Better|1.0|0|1
4514|Phoenix - Role Model|1.0|0|1
4514|PIE2K - salsa&beer(soulsteppin)|1.0|0|1
4514|Pist Idiots - Fuck Off|1.0|0|1
4514|Pist Idiots - Leave It at That|1.0|0|1
4514|Pitbull - Fireball|1.0|0|1
4514|Pitbull - Wild Wild Love (feat. G.R.L.)|1.0|0|1
4514|Pixies - Dead|1.0|0|1
4514|Pixies - Debaser|1.0|0|1
4514|Pixies - Here Comes Your Man|1.0|0|1
4514|Pixies - I Bleed|1.0|0|1
4514|Pixies - Monkey Gone To Heaven|1.0|0|1
4514|Pixies - Tame|1.0|0|1
4514|Pixies - Wave Of Mutilation|1.0|0|1
4514|Pixies - Where Is My Mind?|1.0|0|1
4514|Plain White T's - 1, 2, 3, 4|1.0|0|1
4514|Plan B - Stranger|1.0|0|1
4514|Playboi Carti - NO. 9|1.0|0|1
4514|Playboi Carti - wokeuplikethis* (feat. lil uzi vert)|1.0|0|1
4514|Point Point - Smile On Your Face (feat. San Holo)|1.0|0|1
4514|Polyenso - / / / (A Pool Worth Diving In)|1.0|0|1
4514|Pond - Medicine Hat|1.0|0|1
4514|Pond - Paint Me Silver|1.0|0|1
4514|Poppy - Altar|1.0|0|1
4514|Poppy - Bleach Blonde Baby|1.0|0|1
4514|Poppy - Lowlife|1.0|0|1
4514|Poppy - Money|1.0|0|1
4514|Poppy - My Microphone|1.0|0|1
4514|Porches - Car|1.0|0|1
4514|Port Blue - Into The Sea|1.0|0|1
4514|Porter Robinson - Goodbye To A World|1.0|0|1
4514|Portugal. The Man - Atomic Man|1.0|0|1
4514|Portugal. The Man - Creep In a T-Shirt|1.0|0|1
4514|Portugal. The Man - Do You|1.0|0|1
4514|Portugal. The Man - Everyone Is Golden|1.0|0|1
4514|Portugal. The Man - Guns & Dogs|1.0|0|1
4514|Portugal. The Man - Let You Down|1.0|0|1
4514|Portugal. The Man - Lovers In Love|1.0|0|1
4514|Portugal. The Man - Mornings|1.0|0|1
4514|Portugal. The Man - Noise Pollution (feat. Mary Elizabeth Winstead & Zoe Manville)|1.0|0|1
4514|Portugal. The Man - Noise Pollution (feat. Mary Elizabeth Winstead & Zoe Manville) - Version A, Vocal Up Mix 1.3|1.0|0|1
4514|Portugal. The Man - People Say|1.0|0|1
4514|Portugal. The Man - Rich Friends|1.0|0|1
4514|Portugal. The Man - The Home|1.0|0|1
4514|Portugal. The Man - The Sun|1.0|0|1
4514|Portugal. The Man - The Woods|1.0|0|1
4514|Portugal. The Man - Work All Day|1.0|0|1
4514|Post Malone - Congratulations (feat. Quavo)|1.0|0|1
4514|Powers - Sunshine - The Knocks Remix|1.0|0|1
4514|Pras - Ghetto Supastar (That Is What You Are)|1.0|0|1
4514|Premier League Music - This Is Premier League|1.0|0|1
4514|Press Club - Headwreck|1.0|0|1
4514|PRETTYMUCH - 10,000 Hours|1.0|0|1
4514|PRETTYMUCH - Healthy|1.0|0|1
4514|Primary - 아끼지마 Don't Be Shy (feat. ChoA(AOA), IRON)|1.0|0|1
4514|Prince & The Revolution - Purple Rain|1.0|0|1
4514|Prince - Alphabet St.|1.0|0|1
4514|Prince - Anna Stesia|1.0|0|1
4514|Prince - Controversy|1.0|0|1
4514|Prince - Dance On|1.0|0|1
4514|Prince - Free|1.0|0|1
4514|Prince - Glam Slam|1.0|0|1
4514|Prince - I Would Die 4 U|1.0|0|1
4514|Prince - It|1.0|0|1
4514|Prince - LoveSexy|1.0|0|1
4514|Prince - No|1.0|0|1
4514|Prince - Play in The Sunshine|1.0|0|1
4514|Prince - Positivity|1.0|0|1
4514|Prince - Purple Rain|1.0|0|1
4514|Prince - The Beautiful Ones|1.0|0|1
4514|Prince - When 2 R in Love|1.0|0|1
4514|Princess Nokia - At The Top|1.0|0|1
4514|Princess Nokia - Bart Simpson|1.0|0|1
4514|Princess Nokia - Flowers and Rope|1.0|0|1
4514|Princess Nokia - For The Night|1.0|0|1
4514|Princess Nokia - Little Angel|1.0|0|1
4514|Princess Nokia - Morphine|1.0|0|1
4514|Pro Sound Effects Library - Mist and Thunderclaps|1.0|0|1
4514|Prolly Knot - Perennial|1.0|0|1
4514|Providence Executive Board - No Hands (Canz Remix)|1.0|0|1
4514|Psy - 강남스타일|1.0|0|1
4514|Public Enemy - Fight The Power|1.0|0|1
4514|Puddle Of Mudd - She Hates Me|1.0|0|1
4514|Puma Blue - Moon Undah Water|1.0|0|1
4514|Puma Blue - Soft Porn|1.0|0|1
4514|Puma Blue - Want Me|1.0|0|1
4514|Purity Ring - Cartographist|1.0|0|1
4514|Purity Ring - Lofticries|1.0|0|1
4514|Purity Ring - Shuck|1.0|0|1
4514|Pusha T - Drug Dealers Anonymous|1.0|0|1
4514|Pusha T - Intro|1.0|0|1
4514|Pusha T - M.F.T.R. (feat. The-Dream)|1.0|0|1
4514|Pusha T - New God Flow|1.0|0|1
4514|Pylon - Crazy|1.0|0|1
4514|Queen - Under Pressure (feat. David Bowie)|1.0|0|1
4514|Queens Of The Stone Age - I Sat by The Ocean|1.0|0|1
4514|Queens Of The Stone Age - The Vampyre Of Time and Memory|1.0|0|1
4514|Quelle Chris - Popeye (feat. I, Ced & Mndsgn)|1.0|0|1
4514|R - murderedbywords Top Posts Of All Time|1.0|0|1
4514|R - oldpeoplefacebook Top Posts Of All Time|1.0|0|1
4514|R - quityourbullsh*t Top Posts Of All Time|1.0|0|1
4514|R - quityourbullshit Top Posts Of All Time|1.0|0|1
4514|R - woooosh Top Posts Of All Time|1.0|0|1
4514|R. Kelly - Ignition Remix|1.0|0|1
4514|R.E.M. - Finest Worksong|1.0|0|1
4514|R.E.M. - Lightnin' Hopkins|1.0|0|1
4514|R.E.M. - Man on The Moon|1.0|0|1
4514|R.E.M. - Nightswimming|1.0|0|1
4514|R.E.M. - Strange|1.0|0|1
4514|R3hab - Wave|1.0|0|1
4514|RABBII - Afraid Of The Dark|1.0|0|1
4514|Rachel Platten - Fight Song|1.0|0|1
4514|Rachel Platten - Keep Up|1.0|0|1
4514|Rachel Platten - Stand By You|1.0|0|1
4514|Radiohead - Burn The Witch|1.0|0|1
4514|Radiohead - Fake Plastic Trees|1.0|0|1
4514|Radiohead - House Of Cards|1.0|0|1
4514|Radiohead - Identikit|1.0|0|1
4514|Radiohead - Killer Cars (Mogadon version)|1.0|0|1
4514|Radiohead - Man Of War|1.0|0|1
4514|Radiohead - Spectre|1.0|0|1
4514|RADWIMPS - Dream Lantern|1.0|0|1
4514|Rae Sremmurd - This Could Be Us|1.0|0|1
4514|Raf Rundell - Falling Out|1.0|0|1
4514|Rag'n'Bone Man - Human|1.0|0|1
4514|Rainbow Kitten Surprise - When It Lands|1.0|0|1
4514|Raleigh Ritchie - Unicron Loev|1.0|0|1
4514|Ramin Djawadi - Arc Reaktor|1.0|0|1
4514|Ramin Djawadi - Driving with The Top Down|1.0|0|1
4514|Ramin Djawadi - Iron Man|1.0|0|1
4514|Randy Newman - Monsters, Inc.|1.0|0|1
4514|Ratatat - Abrasive|1.0|0|1
4514|Ratatat - Cold Fingers|1.0|0|1
4514|Ratatat - Countach|1.0|0|1
4514|Ratatat - Cream on Chrome|1.0|0|1
4514|Ratatat - Drift|1.0|0|1
4514|Ratatat - I Will Return|1.0|0|1
4514|Ratatat - Intro|1.0|0|1
4514|Ratatat - Magnifique|1.0|0|1
4514|Ratatat - Nightclub Amnesia|1.0|0|1
4514|Ratatat - Outro|1.0|0|1
4514|Ratatat - Pricks Of Brightness|1.0|0|1
4514|Ratatat - Primetime|1.0|0|1
4514|Ratatat - Rome|1.0|0|1
4514|Ratatat - Supreme|1.0|0|1
4514|Rawayana - High|1.0|0|1
4514|Ray Anthony & His Orchestra - Rock-Cha-Rhumba (Medley)|1.0|0|1
4514|Ray Dalton - Bass Down|1.0|0|1
4514|Read U Wrote U - Rupaul (feat. The cast Of Rupaul's Drag Race All Stars 2)|1.0|0|1
4514|Real Estate - Darling|1.0|0|1
4514|Real Estate - Saturday|1.0|0|1
4514|Real Estate - Younger Than Yesterday|1.0|0|1
4514|Rebecca & Fiona - Need You|1.0|0|1
4514|Red Hot Chili Peppers - By The Way|1.0|0|1
4514|Red Hot Chili Peppers - Californication|1.0|0|1
4514|Red Hot Chili Peppers - Dani California|1.0|0|1
4514|Red Hot Chili Peppers - Porcelain|1.0|0|1
4514|Red Hot Chili Peppers - Snow (Hey Oh)|1.0|0|1
4514|Red Velvet - Somethin Kinda Crazy|1.0|0|1
4514|Red Velvet - Stupid Cupid|1.0|0|1
4514|Redlight - Get Out My Head|1.0|0|1
4514|Regina Spektor - All The Rowboats|1.0|0|1
4514|Regina Spektor - Ballad Of a Politician|1.0|0|1
4514|Regina Spektor - Fidelity|1.0|0|1
4514|Regina Spektor - Firewood|1.0|0|1
4514|Regina Spektor - How|1.0|0|1
4514|Regina Spektor - Jessica|1.0|0|1
4514|Regina Spektor - Open|1.0|0|1
4514|Regina Spektor - Patron Saint|1.0|0|1
4514|Regina Spektor - The Party|1.0|0|1
4514|Regina Spektor - Two Birds|1.0|0|1
4514|Regine Velasquez - On The Wings Of Love|1.0|0|1
4514|Reik - Me Niego|1.0|0|1
4514|Remo Drive - Crash Test Rating|1.0|0|1
4514|Renata Zeiguer - After All|1.0|0|1
4514|Rex Orange County - 4 Seasons|1.0|0|1
4514|Rex Orange County - Apricot Princess|1.0|0|1
4514|Rex Orange County - Happiness|1.0|0|1
4514|Rex Orange County - Never enough|1.0|0|1
4514|Rex Orange County - NOTHING|1.0|0|1
4514|Rex Orange County - Rain Man|1.0|0|1
4514|Rex Orange County - Sycamore Girl|1.0|0|1
4514|Rex Orange County - Television / So Far So Good|1.0|0|1
4514|Rex Orange County - Untitled|1.0|0|1
4514|Rex Orange County - Waiting Room|1.0|0|1
4514|Rezz - Relax|1.0|0|1
4514|Rhodes - Losing It|1.0|0|1
4514|Rhys - Too Good To Be True|1.0|0|1
4514|Riah - Prom|1.0|0|1
4514|Rich Restaino - Grown-Folk Music|1.0|0|1
4514|Richard Cheese - Gin & Juice|1.0|0|1
4514|Richard Cheese - Let's Get It Started|1.0|0|1
4514|Richard Cheese - Me So Horny|1.0|0|1
4514|Richard Cheese - Milkshake|1.0|0|1
4514|Richard Cheese - Naughty Girl|1.0|0|1
4514|Richard Cheese - Stand Up|1.0|0|1
4514|Rick Astley - Never Gonna Give You Up|1.0|0|1
4514|Rick James - Give It To Me Baby|1.0|0|1
4514|Rick James - Super Freak|1.0|0|1
4514|Ricky Martin - La Mordidita|1.0|0|1
4514|Ricky Nelson - Hello Mary Lou (Goodbye Heart) - 2001 Digital Remaster|1.0|0|1
4514|Riddø & Lia - Ghost|1.0|0|1
4514|Rihanna - Bitch Better Have My Money|1.0|0|1
4514|Rihanna - Close To You|1.0|0|1
4514|Rihanna - Diamonds|1.0|0|1
